date,open,high,low,close,volume,date_unix
2014-07-16,620.02697,626.16276,612.89942,625.22399,7.40718446,1405468800
2014-07-17,625.224,630.00997,610.34746,624.97989,0.96305901,1405555200
2014-07-18,624.55999,628.99999,615.17054,625.999,12.28947057,1405641600
2014-07-19,628.99999,630.0,628.99999,630.0,1.55920445,1405728000
2014-07-20,629.99899,629.99899,619.0,619.0,0.50676663,1405814400
2014-07-21,629.76875,629.76875,629.76875,629.76875,0.00063515,1405900800
2014-07-22,618.68819,618.68819,618.68818,618.68818,8.44036665,1405987200
2014-07-23,623.98,623.98,610.0,618.62146,7.49582514,1406073600
2014-07-24,612.5,623.43078,593.86453,605.63646,17.72326386,1406160000
2014-07-25,600.00001,623.22268,593.8005,596.08217,8.67118094,1406246400
2014-07-26,596.21431,607.95528,593.801,600.0,5.06278238,1406332800
2014-07-27,600.0,600.0,600.0,600.0,0.1545,1406419200
2014-07-28,593.80101,599.99999,574.57864,591.90124,4.09273484,1406505600
2014-07-29,586.5,597.66468,575.0711,583.20902,2.67828707,1406592000
2014-07-30,577.44182,588.98043,566.75121,566.75121,11.66910091,1406678400
2014-07-31,573.13807,591.9492,567.62816,590.1668,33.04695941,1406764800
2014-08-01,590.09699,602.36146,584.77374,596.4,3.04581682,1406851200
2014-08-02,596.4,601.18073,590.4867,590.4867,2.57203495,1406937600
2014-08-03,594.80131,594.80136,578.85629,578.85629,1.78503459,1407024000
2014-08-04,579.32951,596.2458,579.32951,596.24532,4.11032835,1407110400
2014-08-05,584.57433,598.03405,579.00019,579.00019,9.0423468,1407196800
2014-08-07,584.26767,593.00001,577.23864,580.58354,16.81014655,1407369600
2014-08-08,589.74092,590.0,583.91906,590.0,0.42726298,1407456000
2014-08-09,583.93908,590.0,578.13503,590.0,7.80408715,1407542400
2014-08-10,590.0,595.35548,583.24163,583.24163,1.65871468,1407628800
2014-08-11,589.61366,595.36446,572.76593,572.76593,0.47791402,1407715200
2014-08-12,572.76593,579.99771,566.99001,579.99771,3.81911972,1407801600
2014-08-13,571.70103,571.70103,531.63618,535.08056,4.34921159,1407888000
2014-08-14,535.00001,553.8341,501.0,523.75872,31.82821682,1407974400
2014-08-15,525.0,530.0,501.0,529.99999,23.95719955,1408060800
2014-08-16,501.1,529.85,500.0,503.52,11.01070929,1408147200
2014-08-17,514.0,539.99462,500.0,500.0,2.65133722,1408233600
2014-08-18,500.00001,505.0,455.0,455.0,28.54967639,1408320000
2014-08-19,479.99799,500.5,460.3,474.02001,77.75579152,1408406400
2014-08-20,495.0,530.0,477.0,530.0,13.53052555,1408492800
2014-08-21,530.0,530.0,500.00642,505.0,4.62139148,1408579200
2014-08-22,529.96506,529.96506,482.21557,529.95385,9.62058564,1408665600
2014-08-23,529.95437,529.95437,482.27458,524.99999,0.563896,1408752000
2014-08-24,524.87999,524.87999,524.87999,524.87999,0.7,1408838400
2014-08-25,500.0,524.87998,490.10042,516.11742,26.86,1408924800
2014-08-27,524.85421,524.85421,524.85358,524.85358,1.312091,1409097600
2014-08-28,495.08275,495.08275,495.08275,495.08275,0.02382,1409184000
2014-08-29,524.78733,524.87551,524.78733,524.87543,0.517827,1409270400
2014-08-30,495.25973,524.76998,495.25973,524.26603,0.45841051,1409356800
2014-08-31,495.26149,509.98296,490.5,509.98296,5.61203945,1409443200
2014-09-01,490.01,490.01,490.01,490.01,0.09953429,1409529600
2014-09-02,524.76939,524.76939,524.76939,524.76939,3.811e-05,1409616000
2014-09-04,475.00156,475.00651,475.00081,475.00651,3.41005838,1409788800
2014-09-06,524.77,524.77,524.77,524.77,0.176851,1409961600
2014-09-07,500.0,500.0,480.00001,480.00001,1.24003,1410048000
2014-09-08,524.77,524.77,465.00143,488.76711,41.14063936,1410134400
2014-09-09,465.00415,475.0,465.00415,475.0,0.50774803,1410220800
2014-09-10,475.00001,475.00001,475.00001,475.00001,0.02,1410307200
2014-09-11,475.00013,475.00013,475.0,475.0,1.01078477,1410393600
2014-09-13,474.76999,474.77,474.76999,474.77,0.14916,1410566400
2014-09-14,490.0,490.0,490.0,490.0,0.21201223,1410652800
2014-09-15,475.00001,475.00001,465.00781,465.00781,3.07923263,1410739200
2014-09-16,499.98933,527.99987,465.0,465.00001,2.76320289,1410825600
2014-09-17,465.00001,465.00001,445.00001,445.00001,5.14001826,1410912000
2014-09-18,455.99999,503.18147,400.0,503.18147,18.12199892,1410998400
2014-09-19,400.0,400.0,375.93621,375.93621,1.5,1411084800
2014-09-20,466.666,466.666,385.00001,385.00001,0.15591857,1411171200
2014-09-21,450.0,450.0,385.01001,385.01001,1.2,1411257600
2014-09-22,424.99784,425.0,295.0,404.82901,24.17732817,1411344000
2014-09-23,425.0,452.99999,420.01001,420.01001,7.70277355,1411430400
2014-09-24,420.02001,449.18,412.33637,433.15178,3.287,1411516800
2014-09-25,413.00001,415.0,397.0,397.0,4.51108142,1411603200
2014-09-28,446.02134,449.99795,387.62584,390.0,10.77926916,1411862400
2014-09-29,393.99982,393.99982,370.00545,370.94491,0.71554983,1411948800
2014-09-30,370.1167,393.21657,370.1167,380.02001,6.67925623,1412035200
2014-10-01,390.0,390.0,390.0,390.0,2.0,1412121600
2014-10-02,380.05005,380.05005,370.10001,370.11002,0.275,1412208000
2014-10-03,389.51342,389.97999,355.0,355.0,20.27,1412294400
2014-10-04,359.97997,369.6289,322.11186,322.11186,38.10892397,1412380800
2014-10-05,315.15148,330.0,273.32564,330.0,18.72145726,1412467200
2014-10-06,320.00001,349.84513,300.0,349.84513,53.40589682,1412553600
2014-10-07,315.06119,341.70602,315.06119,341.70602,0.421,1412640000
2014-10-08,348.95949,370.0,348.95949,370.0,9.89973773,1412726400
2014-10-09,335.46848,399.996,335.16179,370.19002,28.11519805,1412812800
2014-10-10,366.99999,378.98999,355.5917,355.5917,7.77771339,1412899200
2014-10-11,378.82957,378.99999,357.17516,357.17874,0.46176373,1412985600
2014-10-12,359.53202,379.97,352.83413,379.97,16.64574342,1413072000
2014-10-13,370.10392,400.0,370.10021,400.0,20.83296055,1413158400
2014-10-14,400.0,418.98998,395.27823,411.25545,29.7296931,1413244800
